"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Pertussis","All cases","Reported cases","N","1998-08","LT","Lithuania",-,""
"Pertussis","All cases","Reported cases","N","1998-08","MT","Malta",-,""
"Pertussis","All cases","Reported cases","N","1998-08","NL","Netherlands",-,""
"Pertussis","All cases","Reported cases","N","1998-08","NO","Norway",183.000000000,""
"Pertussis","All cases","Reported cases","N","1998-08","PT","Portugal",1.000000000,""
"Pertussis","All cases","Reported cases","N","1998-08","SE","Sweden",141.000000000,""
"Pertussis","All cases","Reported cases","N","1998-08","UK","United Kingdom",50.000000000,""
"Pertussis","All cases","Reported cases","N","1998-09","AT","Austria",-,""
"Pertussis","All cases","Reported cases","N","1998-09","DK","Denmark",36.000000000,""
"Pertussis","All cases","Reported cases","N","1998-09","EL","Greece",5.000000000,""
"Pertussis","All cases","Reported cases","N","1998-09","ES","Spain",8.000000000,""
"Pertussis","All cases","Reported cases","N","1998-09","EU_EEA31","EU/EEA",851.000000000,""
"Pertussis","All cases","Reported cases","N","1998-09","FR","France",11.000000000,""
"Pertussis","All cases","Reported cases","N","1998-09","IE","Ireland",13.000000000,""
"Pertussis","All cases","Reported cases","N","1998-09","IS","Iceland",0.000000000,""
"Pertussis","All cases","Reported cases","N","1998-09","IT","Italy",488.000000000,""
"Pertussis","All cases","Reported cases","N","1998-09","LT","Lithuania",-,""
"Pertussis","All cases","Reported cases","N","1998-09","MT","Malta",-,""
"Pertussis","All cases","Reported cases","N","1998-09","NL","Netherlands",-,""
"Pertussis","All cases","Reported cases","N","1998-09","NO","Norway",141.000000000,""
"Pertussis","All cases","Reported cases","N","1998-09","PT","Portugal",2.000000000,""
"Pertussis","All cases","Reported cases","N","1998-09","SE","Sweden",103.000000000,""
"Pertussis","All cases","Reported cases","N","1998-09","UK","United Kingdom",44.000000000,""
"Pertussis","All cases","Reported cases","N","1998-10","AT","Austria",-,""
"Pertussis","All cases","Reported cases","N","1998-10","DK","Denmark",49.000000000,""
"Pertussis","All cases","Reported cases","N","1998-10","EL","Greece",4.000000000,""
"Pertussis","All cases","Reported cases","N","1998-10","ES","Spain",8.000000000,""
"Pertussis","All cases","Reported cases","N","1998-10","EU_EEA31","EU/EEA",731.000000000,""
"Pertussis","All cases","Reported cases","N","1998-10","FR","France",11.000000000,""
"Pertussis","All cases","Reported cases","N","1998-10","IE","Ireland",7.000000000,""
"Pertussis","All cases","Reported cases","N","1998-10","IS","Iceland",0.000000000,""
"Pertussis","All cases","Reported cases","N","1998-10","IT","Italy",337.000000000,""
"Pertussis","All cases","Reported cases","N","1998-10","LT","Lithuania",-,""
"Pertussis","All cases","Reported cases","N","1998-10","MT","Malta",-,""
"Pertussis","All cases","Reported cases","N","1998-10","NL","Netherlands",-,""
"Pertussis","All cases","Reported cases","N","1998-10","NO","Norway",145.000000000,""
"Pertussis","All cases","Reported cases","N","1998-10","PT","Portugal",1.000000000,""
"Pertussis","All cases","Reported cases","N","1998-10","SE","Sweden",146.000000000,""
"Pertussis","All cases","Reported cases","N","1998-10","UK","United Kingdom",23.000000000,""
"Pertussis","All cases","Reported cases","N","1998-11","AT","Austria",-,""
"Pertussis","All cases","Reported cases","N","1998-11","DK","Denmark",50.000000000,""
"Pertussis","All cases","Reported cases","N","1998-11","EL","Greece",3.000000000,""
"Pertussis","All cases","Reported cases","N","1998-11","ES","Spain",7.000000000,""
"Pertussis","All cases","Reported cases","N","1998-11","EU_EEA31","EU/EEA",789.000000000,""
"Pertussis","All cases","Reported cases","N","1998-11","FR","France",11.000000000,""
"Pertussis","All cases","Reported cases","N","1998-11","IE","Ireland",31.000000000,""
"Pertussis","All cases","Reported cases","N","1998-11","IS","Iceland",0.000000000,""
"Pertussis","All cases","Reported cases","N","1998-11","IT","Italy",335.000000000,""
"Pertussis","All cases","Reported cases","N","1998-11","LT","Lithuania",-,""
"Pertussis","All cases","Reported cases","N","1998-11","MT","Malta",-,""
